,Source airport ID,windowNumber,window,count
0,3682,0,[0-33832],609
1,507,0,[0-33832],380
2,1382,0,[0-33832],345
3,3797,0,[0-33832],316
4,3364,0,[0-33832],302
5,3484,0,[0-33832],247
6,2188,0,[0-33832],242
7,3670,0,[0-33832],229
8,3370,0,[0-33832],221
9,3830,0,[0-33832],219
10,3682,16915,[16915-50747],443
11,340,16915,[16915-50747],345
12,580,16915,[16915-50747],317
13,3406,16915,[16915-50747],293
14,2188,16915,[16915-50747],288
15,3930,16915,[16915-50747],281
16,3077,16915,[16915-50747],273
17,3364,16915,[16915-50747],265
18,3316,16915,[16915-50747],265
19,346,16915,[16915-50747],232
20,3830,33830,[33830-67662],339
21,340,33830,[33830-67662],329
22,1701,33830,[33830-67662],310
23,3682,33830,[33830-67662],306
24,3316,33830,[33830-67662],291
25,3930,33830,[33830-67662],287
26,580,33830,[33830-67662],250
27,3484,33830,[33830-67662],245
28,346,33830,[33830-67662],243
29,3670,33830,[33830-67662],240
